Element Number	Equivalent (von-Mises) Stress (psi)
1	2.4131
2	2.4833
3	2.2231
4	2.1975
5	1.7634
6	1.9851
7	1.6175
8	1.8899
9	2.3068
10	2.383
11	1.8662
12	1.8573
13	2.1409
14	2.1344
15	2.1599
16	2.2541
17	1.7779
18	1.626
19	1.5351
20	1.6459
21	1.9145
22	1.8824
23	0.80799
24	0.90864
25	0.85471
26	1.066
27	1.0827
28	0.90122
29	0.94884
30	1.1043
31	1.1822
32	1.2489
33	1.3742
34	1.034
35	0.95784
36	1.0169
37	1.0342
38	1.2601
39	1.257
40	1.4261
41	2.6929
42	2.0081
43	1.323
44	1.5714
45	1.6899
46	1.5314
47	3.039
48	2.176
49	1.7906
50	1.4862
51	2.2631
52	3.1642
53	1.2024
54	1.4695
55	2.2144
56	1.8972
57	1.1553
58	1.3854
59	1.1075
60	2.
61	1.2008
62	1.3595
63	2.2984
64	3.1414
65	2.2981
66	2.9707
67	0.96209
68	0.98825
69	1.0499
70	1.0457
71	0.89028
72	0.96993
73	1.0311
74	0.89846
75	1.0009
76	0.78452
77	0.77398
78	0.70531
79	0.6481
80	0.86054
81	0.90991
82	0.88222
83	0.882
84	0.95402
85	1.0537
86	1.0015
87	0.76564
88	0.70829
89	0.83557
90	0.80126
91	1.0697
92	0.88655
93	1.0795
94	1.1028
95	1.3285
96	1.4523
97	1.2253
98	1.5195
99	1.1613
100	0.92232
101	0.94688
102	1.1626
103	0.92406
104	1.0492
105	1.0238
106	1.2821
107	1.2863
108	1.1205
109	4.6719
110	4.1353
111	3.9991
112	3.352
113	1.5122
114	1.4235
115	1.1973
116	1.0631
117	1.6908
118	1.7869
119	1.8857
120	1.7135
121	1.2183
122	1.3171
123	1.4057
124	1.0357
125	1.0549
126	1.4727
127	1.3151
128	1.9005
129	1.2724
130	1.592
131	1.5926
132	1.7793
133	1.9704
134	1.8732
135	1.2377
136	1.2206
137	1.9705
138	1.8142
139	1.4797
140	1.5651
141	1.5423
142	1.384
143	1.3786
144	1.4615
145	1.5208
146	1.6948
147	1.8088
148	1.7846
149	1.5545
150	1.584
151	1.6519
152	1.4798
153	1.4513
154	1.5112
155	1.5455
156	1.7569
157	1.6851
158	1.4233
159	1.6674
160	1.5479
161	1.402
162	1.3789
163	1.0486
164	1.6037
165	1.3104
166	1.0921
167	1.6703
168	1.6109
169	1.2759
170	1.0864
171	1.0367
172	1.2367
173	1.5654
174	1.2614
175	1.0047
176	1.3812
177	1.5294
178	1.525
179	1.472
180	1.4571
181	1.6262
182	1.4554
183	1.5509
184	1.5044
185	1.5904
186	1.7059
187	1.5677
188	1.7509
189	1.6067
190	1.4025
191	1.4417
192	1.6729
193	1.5984
194	1.6749
195	1.7455
196	1.6434
197	1.6732
198	1.5953
199	1.3148
200	1.2139
201	1.3587
202	1.4731
203	1.6641
204	1.2393
205	1.1499
206	1.2845
207	1.3845
208	1.1644
209	1.0407
210	1.7192
211	1.3926
212	1.2786
213	1.8667
214	1.8819
215	1.7135
216	1.7893
217	1.733
218	1.4694
219	1.7513
220	2.0089
221	1.119
222	1.0717
223	1.3525
224	1.6431
225	1.3936
226	1.4269
227	1.2589
228	1.9838
229	1.86
230	1.6967
231	1.0977
232	1.0101
233	1.6513
234	1.1229
235	1.4477
236	1.3609
237	1.3928
238	1.4253
239	1.3015
240	1.2502
241	1.2345
242	1.2249
243	1.5245
244	1.5863
245	1.2503
246	1.7991
247	1.8566
248	1.1506
249	1.3781
250	1.5664
251	1.237
252	1.4967
253	1.7319
254	1.8797
255	1.8584
256	2.0118
257	0.26948
258	0.19523
259	0.11599
260	0.12127
261	0.12243
262	0.10783
263	0.20157
264	6.4505e-002
265	5.8706e-002
266	6.9549e-002
267	0.15655
268	0.10913
269	0.11586
270	5.5499e-002
271	6.1236e-002
272	4.2622e-002
273	0.80157
274	0.88709
275	0.78696
276	0.95606
277	1.1148
278	0.83748
279	0.81944
280	0.87932
281	1.1619
282	1.3375
283	1.3457
284	1.2418
285	1.1652
286	0.88979
287	1.1165
288	1.2243
289	0.9804
290	1.0358
291	1.0212
292	1.1032
293	1.0276
294	0.92165
295	1.419
296	1.9474
297	2.2859
298	1.451
299	1.8678
300	1.5906
301	1.6033
302	1.5786
303	1.5086
304	2.442
305	1.573
306	2.0908
307	2.0026
308	2.4101
309	2.294
310	1.4056
311	1.907
312	1.9144
313	3.0099
314	2.2221
315	2.8479
316	2.1836
317	4.4696
318	4.4695
319	4.5185
320	4.299
321	4.8062
322	4.4461
323	4.6551
324	4.5396
325	4.6165
326	4.3869
327	4.462
328	4.2412
329	5.008
330	4.4614
331	5.3344
332	5.2269
333	4.6087
334	5.0293
335	4.6812
336	4.5604
337	4.8793
338	4.7991
339	4.508
340	5.0015
341	5.2268
342	4.5624
343	1.8266
344	2.1138
345	2.1417
346	2.7452
