Node Number	X Location (in)	Y Location (in)	Z Location (in)	
1	-1.075	-1.3165e-016	0.725	
2	-1.0739	-4.9647e-002	0.725	
3	-1.0704	-9.9188e-002	0.725	
4	-1.0647	-0.14852	0.725	
5	-1.0567	-0.19753	0.725	
6	-1.0464	-0.24612	0.725	
7	-1.034	-0.29419	0.725	
8	-1.0193	-0.34163	0.725	
9	-1.0024	-0.38833	0.725	
10	-0.9834	-0.43422	0.725	
11	-0.9623	-0.47917	0.725	
12	-0.93914	-0.5231	0.725	
13	-0.91398	-0.56591	0.725	
14	-0.88687	-0.60752	0.725	
15	-0.85787	-0.64783	0.725	
16	-0.82703	-0.68676	0.725	
17	-0.79443	-0.72422	0.725	
18	-0.76014	-0.76014	0.725	
19	-0.72422	-0.79443	0.725	
20	-0.68676	-0.82703	0.725	
21	-0.64783	-0.85787	0.725	
22	-0.60752	-0.88687	0.725	
23	-0.56591	-0.91398	0.725	
24	-0.5231	-0.93914	0.725	
25	-0.47917	-0.9623	0.725	
26	-0.43422	-0.9834	0.725	
27	-0.38833	-1.0024	0.725	
28	-0.34163	-1.0193	0.725	
29	-0.29419	-1.034	0.725	
30	-0.24612	-1.0464	0.725	
31	-0.19753	-1.0567	0.725	
32	-0.14852	-1.0647	0.725	
33	-9.9188e-002	-1.0704	0.725	
34	-4.9647e-002	-1.0739	0.725	
35	5.4322e-016	-1.075	0.725	
36	4.9647e-002	-1.0739	0.725	
37	9.9188e-002	-1.0704	0.725	
38	0.14852	-1.0647	0.725	
39	0.19753	-1.0567	0.725	
40	0.24612	-1.0464	0.725	
41	0.29419	-1.034	0.725	
42	0.34163	-1.0193	0.725	
43	0.38833	-1.0024	0.725	
44	0.43422	-0.9834	0.725	
45	0.47917	-0.9623	0.725	
46	0.5231	-0.93914	0.725	
47	0.56591	-0.91398	0.725	
48	0.60752	-0.88687	0.725	
49	0.64783	-0.85787	0.725	
50	0.68676	-0.82703	0.725	
51	0.72422	-0.79443	0.725	
52	0.76014	-0.76014	0.725	
53	0.79443	-0.72422	0.725	
54	0.82703	-0.68676	0.725	
55	0.85787	-0.64783	0.725	
56	0.88687	-0.60752	0.725	
57	0.91398	-0.56591	0.725	
58	0.93914	-0.5231	0.725	
59	0.9623	-0.47917	0.725	
60	0.9834	-0.43422	0.725	
61	1.0024	-0.38833	0.725	
62	1.0193	-0.34163	0.725	
63	1.034	-0.29419	0.725	
64	1.0464	-0.24612	0.725	
65	1.0567	-0.19753	0.725	
66	1.0647	-0.14852	0.725	
67	1.0704	-9.9188e-002	0.725	
68	1.0739	-4.9647e-002	0.725	
69	1.075	-4.2685e-016	0.725	
70	1.0739	4.9647e-002	0.725	
71	1.0704	9.9188e-002	0.725	
72	1.0647	0.14852	0.725	
73	1.0567	0.19753	0.725	
74	1.0464	0.24612	0.725	
75	1.034	0.29419	0.725	
76	1.0193	0.34163	0.725	
77	1.0024	0.38833	0.725	
